Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom
210282,c1ccc(nc1)Sc1ccccc1c1ccccn1,F2-F5-F11-F11,198.6203,1171.19,232.622109157,1.5716,200.0607,4,264.34488,1.57666235531
1276649,n1csc(n1)C1SCC(SC1)c1ncc(s1)c1cccs1,F7-F14-F6-F8,240.7911,1434.23,345.349819353,1.6155,247.4473,4,369.57154,1.63680214257
899707,C1CSC(CS1)c1occ(c1c1ccccc1)c1ccccc1,F5-F15-F6-F5,242.9596,1179.63,286.602432948,1.5455,250.6988,4,338.48632,1.56661605915
1231051,n1ccc(cc1)c1scnc1c1ncccc1c1cccc2c1cccc2,F11-F16-F14-F11,274.1072,1203.16,329.794818752,1.5895,291.4102,4,365.4503,1.63605998386
313126,C1CSC(CS1)c1ncc(s1)CC1CCCC1,F1-F14-F6-F10,185.0798,1184.64,219.252934272,1.4858,190.3446,4,285.49166,1.50208098566
192697,CC1NCN(C(N1)c1nsnc1)c1ccccn1,F9-F13-F11-F1,161.242,1302.81,210.06769002,1.5103,167.6251,4,262.33406,1.53449627282
777214,o1ccc(c1)c1c(ccc2c1c(ccc2)c1ccco1)c1ccoc1,F15-F16-F15-F15,235.3045,1211.75,285.130227875,1.5666,249.5392,4,326.34476,1.60900929346
431205,C1CCC(C1)C1CCC(C1c1nccs1)c1cccs1,F10-F10-F14-F7,200.4527,1136.54,227.822511658,1.473,206.3126,4,303.48534,1.48922471859
50495,OC1(CCCC1C1CCCC1)c1cnccn1,F10-F10-F12-F3,154.2377,1072.32,165.392170464,1.4448,157.9921,4,232.3214,1.45731885681
376233,C1NCN(CN1)c1ccc(cc1)c1cocc1C1CCCC1,F10-F15-F5-F9,213.7634,1155.41,246.984369994,1.533,221.9803,4,297.39472,1.55775498027
887978,s1ccc(c1)C1CCC(C1)C1CSCC(S1)c1ccco1,F6-F10-F7-F15,219.4985,1215.28,266.75213708,1.5042,226.2674,4,336.5351,1.52271311502
525081,Cc1cc2cc(ccc2cc1c1cnsn1)c1ncsc1,F14-F16-F1-F13,242.6708,1321.4,320.66519512,1.7018,254.4995,4,309.40864,1.74697360805
233533,Sc1ccsc1c1ccnc(c1)c1ccccc1,F2-F7-F11-F5,199.6724,1238.44,247.282287056,1.602,211.7576,4,269.38454,1.64786441036
1395484,C1NC(NC(N1)c1nccs1)c1ccc2c(c1c1cscn1)cccc2,F9-F16-F14-F14,264.7546,1301.55,344.59134963,1.594,272.3323,4,379.50178,1.61508421565
1463542,C1CSC(CS1)c1cc2cc(ccc2c(c1)c1ccncc1)c1cccs1,F7-F16-F11-F6,314.01,1237.6,388.618776,1.635,330.0083,4,405.59866,1.67628535246
692286,c1ncc(s1)N1CN(CNC1c1nncs1)c1cocc1,F8-F9-F14-F15,189.6752,1419.4,269.22497888,1.5405,191.2508,4,320.39328,1.54594603322
54169,CC1CCC(C1)C1CCCC1c1cccs1,F10-F10-F7-F1,164.5615,1005.6,165.4830444,1.4405,169.6308,4,234.40018,1.45622390479
1280463,Sc1ccc(c2c1cccc2)c1cccc2c1cccc2c1nsnc1,F2-F16-F16-F13,290.8237,1258.39,365.969635843,1.6599,299.8252,4,370.48996,1.68614182369
381520,c1ccc(cc1)c1ccc(cc1)c1cocc1c1ccncc1,F5-F15-F11-F5,232.1372,1145.37,265.882984764,1.5829,243.8614,4,297.3499,1.61946331496
1091111,C1CSC(CS1)c1cccc(c1)c1nsnc1c1ccncc1,F5-F6-F13-F11,241.8366,1297.79,313.853121114,1.5699,248.1159,4,357.5161,1.58807075324
363209,C1CCC(C1)c1ccc(o1)c1nccnc1c1cscc1,F10-F15-F12-F7,212.1728,1185.61,251.554193408,1.5471,223.5477,4,296.38674,1.58292692782
226980,Oc1cnc(s1)C1NCN(CN1)c1cccs1,F9-F14-F7-F3,159.3848,1406.24,224.133281152,1.5366,164.0653,4,268.35848,1.5556496944
608612,s1cnc(c1)c1occ(c1)c1nccnc1c1cnsn1,F14-F15-F12-F13,208.1538,1421.95,295.98429591,1.6238,218.5778,4,313.35758,1.66337875597
35880,OC1(CSCCS1)c1ccoc1O,F3-F6-F15-F3,120.4952,1370.11,165.091678472,1.4771,123.8996,4,218.2932,1.49296447586
622747,c1ccc(cn1)c1ncccc1c1cccc(c1)c1cccs1,F5-F7-F11-F11,240.9698,1181.11,284.611840478,1.5917,254.5869,4,314.40356,1.63356328882
1181342,Sc1cccc2c1ccc(c2)c1cccc2c1ccc(c2)c1ccncc1,F2-F16-F16-F11,311.3773,1187.39,369.726292247,1.6851,329.1038,4,363.47418,1.73629371524
724440,c1cnc(cn1)Sc1cccc2c1ccc(c2)c1nsnc1,F13-F16-F2-F12,237.3678,1350.94,320.669655732,1.6657,244.6157,4,322.4074,1.69187903243
765213,c1cnc(cn1)c1nc(c(s1)c1nncs1)c1cnccn1,F12-F14-F12-F8,225.6281,1403.86,316.750264466,1.6479,244.8357,4,325.37158,1.71951023147
796424,Sc1ccsc1c1ccc2c(c1)ccc(c2)c1cccnc1,F7-F16-F11-F2,259.0761,1252.31,324.443590791,1.6838,283.6321,4,319.44322,1.7699540004
